District name	City	County name
Aguila Elementary District	Aguila	Maricopa
Ajo Unified District	Ajo	Pima
Alpine Elementary District	Alpine	Apache
Apache Junction Unified District	Apache Junction	Pinal
Excalibur Charter Schools Inc.	Apache Junction	Pinal
Imagine Prep Superstition Inc.	Apache Junction	Pinal
Imagine Superstition Middle Inc.	Apache Junction	Pinal
Agua Fria Union High School District	Avondale	Maricopa
Avondale Elementary District	Avondale	Maricopa
Imagine Avondale Elementary Inc.	Avondale	Maricopa
Imagine Avondale Middle Inc.	Avondale	Maricopa
Littleton Elementary District	Avondale	Maricopa
Bagdad Unified District	Bagdad	Yavapai
Ira H. Hayes Memorial Applied Learning Center Inc.	Bapchule	Pinal
Littlefield Unified District	Beaver Dam	Mohave
Benson Unified School District	Benson	Cochise
Visions Unlimited Academy Inc.	Benson	Cochise
Little Singer Community School Board Inc.	Birdspring	Navajo
Bisbee Unified District	Bisbee	Cochise
Canon Elementary District	Black Canyon City	Yavapai
Blue Elementary District	Blue	Greenlee
Bonita Elementary District	Bonita	Graham
Bouse Elementary District	Bouse	La Paz
Bowie Unified District	Bowie	Cochise
Buckeye Elementary District	Buckeye	Maricopa
Buckeye Union High School District	Buckeye	Maricopa
Liberty Elementary District	Buckeye	Maricopa
The Odyssey Preparatory Academy Inc.	Buckeye	Maricopa
Bullhead City School District	Bullhead City	Mohave
Mohave Accelerated Elementary School Inc.	Bullhead City	Mohave
Mohave Accelerated Learning Center	Bullhead City	Mohave
Young Scholars Academy Charter School Corp.	Bullhead City	Mohave
Camp Verde Unified District	Camp Verde	Yavapai
Camp Verde Unified School District Dba South Verde Technolog	Camp Verde	Yavapai
Sunnyside Charter And Montessori School	Camp Verde	Yavapai
Casa Grande Elementary District	Casa Grande	Pinal
Casa Grande Union High School District	Casa Grande	Pinal
Kaizen Education Foundation Dba Mission Heights Preparatory	Casa Grande	Pinal
Pinnacle Education-Casa Grande Inc.	Casa Grande	Pinal
Masada Charter School Inc.	Centennial Park	Mohave
American Leadership Academy Inc.	Chandler	Maricopa
Archway Classical Academy Chandler	Chandler	Maricopa
Athlos Traditional Academy	Chandler	Maricopa
Az Compass Schools Inc.	Chandler	Maricopa
Ball Charter Schools (Dobson)	Chandler	Maricopa
Bright Beginnings School Inc.	Chandler	Maricopa
Chandler Unified District	Chandler	Maricopa
Legacy Traditional Schools	Chandler	Maricopa
Paragon Education Corporation	Chandler	Maricopa
Pinnacle Education-Wmcb Inc.	Chandler	Maricopa
Primavera Technical Learning Center	Chandler	Maricopa
Vector School District Inc.	Chandler	Maricopa
Chinle Unified District	Chinle	Apache
Chino Valley Unified District	Chino Valley	Yavapai
Mingus Springs Charter School	Chino Valley	Yavapai
Clarkdale-Jerome Elementary District	Clarkdale	Yavapai
Clifton Unified District	Clifton	Greenlee
Cochise Elementary District	Cochise	Cochise
Colorado City Unified District	Colorado City	Mohave
Concho Elementary District	Concho	Apache
Congress Elementary District	Congress	Yavapai
Akimel O Otham Pee Posh Charter School Inc.	Coolidge	Pinal
Akimel O'otham Pee Posh Charter School Inc.	Coolidge	Pinal
Central Arizona Valley Institute Of Technology	Coolidge	Pinal
Coolidge Unified District	Coolidge	Pinal
Imagine Coolidge Elementary Inc.	Coolidge	Pinal
Imagine Prep Coolidge Inc.	Coolidge	Pinal
Desert Star Community School Inc.	Cornville	Yavapai
A Center For Creative Education	Cottonwood	Yavapai
Accelerated Learning Charter School Inc.	Cottonwood	Yavapai
American Heritage Academy	Cottonwood	Yavapai
Cottonwood-Oak Creek Elementary District	Cottonwood	Yavapai
Mingus Union High School District	Cottonwood	Yavapai
New Visions Academy Inc.	Cottonwood	Yavapai
Valley Academy For Career And Technology Education	Cottonwood	Yavapai
Crown King Elementary District	Crown King	Yavapai
Hyder Elementary District	Dateland	Yuma
Apache Elementary District	Douglas	Cochise
Douglas Unified District	Douglas	Cochise
Omega Alpha Academy	Douglas	Cochise
Duncan Unified District	Duncan	Greenlee
Quartzsite Elementary District	Ehrenberg	La Paz
Elfrida Elementary District	Elfrida	Cochise
Valley Union High School District	Elfrida	Cochise
Sonoita Elementary District	Elgin	Santa Cruz
Eloy Elementary District	Eloy	Pinal
Santa Cruz Valley Union High School District	Eloy	Pinal
Toltec Elementary District	Eloy	Pinal
Coconino County Accommodation School District	Flagstaff	Coconino
Flagstaff Arts And Leadership Academy	Flagstaff	Coconino
Flagstaff Junior Academy	Flagstaff	Coconino
Flagstaff Unified District	Flagstaff	Coconino
Haven Montessori Children's House Inc.	Flagstaff	Coconino
Montessori Charter School Of Flagstaff Inc.	Flagstaff	Coconino
Mountain School Inc.	Flagstaff	Coconino
Northland Preparatory Academy	Flagstaff	Coconino
Painted Desert Demonstration Projects Inc.	Flagstaff	Coconino
Peak School Inc. The	Flagstaff	Coconino
Pine Forest Education Association Inc.	Flagstaff	Coconino
Florence Unified School District	Florence	Pinal
Window Rock Unified District	Fort Defiance	Apache
Fort Huachuca Accommodation District	Fort Huachuca	Cochise
Academy Of Building Industries Inc.	Fort Mohave	Mohave
Colorado River Union High School District	Fort Mohave	Mohave
Fort Thomas Unified District	Fort Thomas	Graham
Fountain Hills Charter School	Fountain Hills	Maricopa
Fountain Hills Unified District	Fountain Hills	Maricopa
Fredonia-Moccasin Unified District	Fredonia	Coconino
Ganado Unified School District	Ganado	Apache
Kin Dah Lichii Olta Inc.	Ganado	Apache
Gila Bend Unified District	Gila Bend	Maricopa
Paloma School District	Gila Bend	Maricopa
Ball Charter Schools (Val Vista)	Gilbert	Maricopa
Benjamin Franklin Charter School	Gilbert	Maricopa
Cafa Inc. Dba Learning Foundation And Performing Arts Alta	Gilbert	Maricopa
Cafa Inc. Dba Learning Foundation And Performing Arts Gilbe	Gilbert	Maricopa
Cafa Inc. Dba Learning Foundation Performing Arts School	Gilbert	Maricopa
Challenger Basic School Inc.	Gilbert	Maricopa
EDUPRIZE School - Gilbert Campus	Gilbert	Maricopa
Gilbert Unified District	Gilbert	Maricopa
Greenhouse Montessori School Inc.	Gilbert	Maricopa
Higley Unified School District	Gilbert	Maricopa
Hillcrest Academy Inc.	Gilbert	Maricopa
Lead Charter Schools	Gilbert	Maricopa
Lead Charter Schools	Gilbert	Maricopa
Leading Edge Academy Maricopa	Gilbert	Maricopa
San Tan Montessori School Inc.	Gilbert	Maricopa
West Gilbert Charter Middle School Inc.	Gilbert	Maricopa
Blueprint Education	Glendale	Maricopa
Calibre Academy	Glendale	Maricopa
Camelback Education Inc	Glendale	Maricopa
Challenge School Inc.	Glendale	Maricopa
Desert Heights Charter Schools	Glendale	Maricopa
E-Institute Charter Schools Inc.	Glendale	Maricopa
Glendale Elementary District	Glendale	Maricopa
Glendale Union High School District	Glendale	Maricopa
Heritage Elementary School	Glendale	Maricopa
Omega Schools D.B.A. Omega Academy Inc.	Glendale	Maricopa
Peoria Unified School District	Glendale	Maricopa
Pointe Educational Services	Glendale	Maricopa
Washington Elementary School District	Glendale	Maricopa
West-Mec - Western Maricopa Education Center	Glendale	Maricopa
Destiny School Inc.	Globe	Gila
Gila County Regional School District	Globe	Gila
Globe Unified District	Globe	Gila
Liberty High School	Globe	Gila
Sonoran Desert School	Gold Canyon	Pinal
Archway Classical Academy Trivium	Goodyear	Maricopa
Bradley Academy Of Excellence Inc.	Goodyear	Maricopa
Grand Canyon Unified District	Grand Canyon	Coconino
Continental Elementary District	Green Valley	Pima
Heber-Overgaard Unified District	Heber	Navajo
Palominas Elementary District	Hereford	Cochise
Hillside Elementary District	Hillside	Yavapai
Holbrook Unified District	Holbrook	Navajo
Navajo County Accommodation District #99	Holbrook	Navajo
Navajo County School Superintendents Office	Holbrook	Navajo
Joseph City Unified District	Joseph City	Navajo
Kayenta Unified District	Kayenta	Navajo
Cedar Unified District	Keams Canyon	Navajo
Ray Unified District	Kearny	Pinal
Hackberry School District	Kingman	Mohave
Kingman Academy Of Learning	Kingman	Mohave
Kingman Unified School District	Kingman	Mohave
Western Arizona Vocational District #50	Kingman	Mohave
Kirkland Elementary District	Kirkland	Yavapai
Kaizen Education Foundation Dba Havasu Preparatory Academy	Lake Havasu City	Mohave
Lake Havasu Unified District	Lake Havasu City	Mohave
Telesis Center For Learning Inc.	Lake Havasu City	Mohave
Blue Ridge Unified District	Lakeside	Navajo
Country Gardens Charter Schools	Laveen	Maricopa
Laveen Elementary District	Laveen	Maricopa
Legacy Traditional Charter School - Laveen Village	Laveen	Maricopa
West Valley Arts And Technology Academy Inc.	Laveen	Maricopa
Ombudsman Educational Services Ltd A Subsidiary Of Educati	Libertyville	Lake
Crown Charter School Inc	Litchfield Park	Maricopa
Litchfield Elementary District	Litchfield Park	Maricopa
Marana Unified District	Marana	Pima
Open Doors Community School Inc.	Marana	Pima
Graysmark Schools Corporation	Maricopa	Pinal
Legacy Traditional Charter School - Maricopa	Maricopa	Pinal
Legacy Traditional School - Avondale	Maricopa	Pinal
Maricopa Unified School District	Maricopa	Pinal
Mobile Elementary District	Maricopa	Maricopa
Mayer Unified School District	Mayer	Yavapai
Mcnary Elementary District	Mcnary	Apache
Double Adobe Elementary District	Mcneal	Cochise
Mcneal Elementary District	Mcneal	Cochise
Academy With Community Partners Inc	Mesa	Maricopa
American Basic Schools Llc	Mesa	Maricopa
Arizona Connections Academy Charter School Inc.	Mesa	Maricopa
Asu Preparatory Academy	Mesa	Maricopa
Boys & Girls Clubs Of The East Valley Dba Mesa Arts Academy	Mesa	Maricopa
Cambridge Academy East Inc	Mesa	Maricopa
Concordia Charter School Inc.	Mesa	Maricopa
East Mesa Charter Elementary School Inc.	Mesa	Maricopa
East Valley Academy	Mesa	Maricopa
East Valley Institute Of Technology	Mesa	Maricopa
Edkey Inc.	Mesa	Maricopa
Edkey Inc. - Pathfinder Academy	Mesa	Maricopa
Edkey Inc. - Redwood Academy	Mesa	Maricopa
Edkey Inc. - Sequoia Charter School	Mesa	Maricopa
Edkey Inc. - Sequoia Choice Schools	Mesa	Maricopa
Edkey Inc. - Sequoia Ranch School	Mesa	Maricopa
Edkey Inc. - Sequoia School For The Deaf And Hard Of Hearin	Mesa	Maricopa
Gem Charter School Inc.	Mesa	Maricopa
Happy Valley School Inc.	Mesa	Maricopa
Happy Valley School Inc.	Mesa	Maricopa
Heritage Academy Inc.	Mesa	Maricopa
Imagine Middle At East Mesa Inc.	Mesa	Maricopa
Legacy Education Group	Mesa	Maricopa
Legacy Schools	Mesa	Maricopa
Mesa Unified School District	Mesa	Maricopa
Montessori Education Centre Charter School	Mesa	Maricopa
Montessori House Inc.	Mesa	Maricopa
New Horizon School For The Performing Arts	Mesa	Maricopa
Noah Webster Basic School	Mesa	Maricopa
Pinnacle Education-Mesa Inc.	Mesa	Maricopa
Self Development Charter School	Mesa	Maricopa
University Public Schools Inc.	Mesa	Maricopa
University Public Schools Inc.	Mesa	Maricopa
Miami Unified District	Miami	Gila
Mohave Valley Elementary District	Mohave Valley	Mohave
Morenci Unified District	Morenci	Greenlee
Morristown Elementary District	Morristown	Maricopa
Naco Elementary District	Naco	Cochise
Nazlini Community School Inc.	Nazlini	Apache
Mexicayotl Academy Inc.	Nogales	Santa Cruz
Nogales Unified District	Nogales	Santa Cruz
Pinnacle Education-Kino Inc.	Nogales	Santa Cruz
Santa Cruz County Regional School District	Nogales	Santa Cruz
Santa Cruz Elementary District	Nogales	Santa Cruz
Arizona School For Integrated Academics And Technologies In	Oceanside	San Diego
Oracle Elementary District	Oracle	Pinal
Sierra Oaks School Inc	Oracle	Pinal
Innovative Humanities Education Corporation	Oro Valley	Pima
Coconino Association For Vocation Industry And Technology	Page	Coconino
Page Unified District	Page	Coconino
Palo Verde Elementary District	Palo Verde	Maricopa
Montessori Academy Inc.	Paradise Valley	Maricopa
Parker Unified School District	Parker	La Paz
Maine Consolidated School District	Parks	Coconino
Patagonia Elementary District	Patagonia	Santa Cruz
Patagonia Montessori Elementary School	Patagonia	Santa Cruz
Patagonia Union High School District	Patagonia	Santa Cruz
Payson Unified District	Payson	Gila
The Shelby School	Payson	Gila
Peach Springs Unified District	Peach Springs	Mohave
Ash Creek Elementary District	Pearce	Cochise
Pearce Elementary District	Pearce	Cochise
Candeo Schools Inc.	Peoria	Maricopa
Employ-Ability Unlimited Inc.	Peoria	Maricopa
Paramount Education Studies Inc	Peoria	Maricopa
Skyline Gila River Schools Llc	Peoria	Maricopa
Academy Of Excellence Inc.	Phoenix	Maricopa
Accelerated Learning Center Inc.	Phoenix	Maricopa
Acclaim Charter School	Phoenix	Maricopa
Ahwatukee Foothills Prep Inc.	Phoenix	Maricopa
Ahwatukee Foothills Prep Early College High School Inc.	Phoenix	Maricopa
Aibt Non-Profit Charter High School - Phoenix	Phoenix	Maricopa
Alhambra Elementary District	Phoenix	Maricopa
All Aboard Charter School	Phoenix	Maricopa
Ambassador Academy	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Alta Vista High S	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Apache Trail High	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Crestview College	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Desert Hills High	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Estrella High Sch	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Peoria Accelerate	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. South Pointe High	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. South Ridge High	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. Sun Valley High S	Phoenix	Maricopa
American Charter Schools Foundation D.B.A. West Phoenix High	Phoenix	Maricopa
Anthem Preparatory Academy	Phoenix	Maricopa
Archway Classical Academy Glendale	Phoenix	Maricopa
Archway Classical Academy Veritas	Phoenix	Maricopa
Arizona Academy Of Science And Technology Inc.	Phoenix	Maricopa
Arizona Agribusiness & Equine Center Inc.	Phoenix	Maricopa
Arizona Agribusiness & Equine Center Inc.	Phoenix	Maricopa
Arizona Agribusiness & Equine Center Inc.	Phoenix	Maricopa
Arizona Agribusiness & Equine Center Inc.	Phoenix	Maricopa
Arizona Agribusiness & Equine Center Inc.	Phoenix	Maricopa
Arizona Call-A-Teen Youth Resources Inc.	Phoenix	Maricopa
Arizona Department Of Corrections	Phoenix	Maricopa
Arizona Language Preparatory	Phoenix	Maricopa
Arizona Montessori Charter School At Anthem	Phoenix	Maricopa
Arizona School For The Arts	Phoenix	Maricopa
Arizona State Hospital	Phoenix	Maricopa
Asu Preparatory Academy	Phoenix	Maricopa
Avondale Learning Dba Precision Academy	Phoenix	Maricopa
Ball Charter Schools (Hearn)	Phoenix	Maricopa
Balsz Elementary District	Phoenix	Maricopa
Bell Canyon Charter School Inc	Phoenix	Maricopa
Benchmark School Inc.	Phoenix	Maricopa
Bne Ashur	Phoenix	Maricopa
Career Success Schools	Phoenix	Maricopa
Cartwright Elementary District	Phoenix	Maricopa
Challenge Foundation Academies Of Arizona Inc.	Phoenix	Maricopa
Chandler Preparatory Academy	Phoenix	Maricopa
Choice Academies Inc.	Phoenix	Maricopa
Cholla Academy	Phoenix	Maricopa
Cornerstone Charter School Inc	Phoenix	Maricopa
Cortez Park Charter Middle School Inc.	Phoenix	Maricopa
Creighton Elementary District	Phoenix	Maricopa
Daisy Education Corporation Dba Sonoran Science Academy	Phoenix	Maricopa
Daisy Education Corporation Dba Sonoran Science Academy - Ph	Phoenix	Maricopa
Deer Valley Charter Schools Inc.	Phoenix	Maricopa
Deer Valley Unified District	Phoenix	Maricopa
Desert Mirage Preparatory Academy Public Charter Elementary	Phoenix	Maricopa
Eagle College Prep Ii Inc. Dba Eagle College Prep Harmony	Phoenix	Maricopa
Eagle South Mountain Charter Inc.	Phoenix	Maricopa
Edkey Inc. - Arizona Conservatory For Arts And Academics	Phoenix	Maricopa
Edupreneurship Inc.	Phoenix	Maricopa
