District name	City	County name
Empower College Prep	Phoenix	Maricopa
Esperanza Community Collegial Academy	Phoenix	Maricopa
Espiritu Community Development Corp.	Phoenix	Maricopa
Fit Kids Inc. Dba Champion Schools	Phoenix	Maricopa
Fowler Elementary District	Phoenix	Maricopa
Freedom Academy Inc.	Phoenix	Maricopa
Friendly House Inc.	Phoenix	Maricopa
Genesis Program Inc.	Phoenix	Maricopa
Glendale Preparatory Academy	Phoenix	Maricopa
Great Hearts Academies	Phoenix	Maricopa
Hirsch Academy A Challenge Foundation	Phoenix	Maricopa
Horizon Community Learning Center Inc.	Phoenix	Maricopa
Humanities And Sciences Academy Of The United States Inc.	Phoenix	Maricopa
Imagine Camelback Middle Inc.	Phoenix	Maricopa
Imagine Charter Elementary At Camelback Inc.	Phoenix	Maricopa
Imagine Charter Elementary At Desert West Inc.	Phoenix	Maricopa
Imagine Desert West Middle Inc.	Phoenix	Maricopa
Incito Schools	Phoenix	Maricopa
Intelli-School Inc.	Phoenix	Maricopa
International Commerce Secondary Schools Inc.	Phoenix	Maricopa
Isaac Elementary District	Phoenix	Maricopa
James Sandoval Preparatory High School	Phoenix	Maricopa
Kaizen Education Foundation Dba El Dorado High School	Phoenix	Maricopa
Kaizen Education Foundation Dba Gilbert Arts Public Charter	Phoenix	Maricopa
Kaizen Education Foundation Dba Liberty Arts Academy	Phoenix	Maricopa
Kaizen Education Foundation Dba Maya High School	Phoenix	Maricopa
Kaizen Education Foundation Dba South Pointe Elementary Scho	Phoenix	Maricopa
Kaizen Education Foundation Dba South Pointe Junior High Sch	Phoenix	Maricopa
Kaizen Education Foundation Dba Summit High School	Phoenix	Maricopa
Kaizen Education Foundation Dba Tempe Accelerated High Schoo	Phoenix	Maricopa
Kaizen Education Foundation Dba Vista Grove Preparatory Acad	Phoenix	Maricopa
Kaizen Education Foundation Dba Vista Grove Preparatory Acad	Phoenix	Maricopa
Keystone Montessori Charter School Inc.	Phoenix	Maricopa
Khalsa Montessori Elementary Schools	Phoenix	Maricopa
Liberty Traditional Charter School	Phoenix	Maricopa
Life Skills Center Of Arizona Inc.	Phoenix	Maricopa
Madison Elementary District	Phoenix	Maricopa
Maricopa County Community College District Dba Gateway Early	Phoenix	Maricopa
Maricopa County Regional District	Phoenix	Maricopa
Maryvale Preparatory Academy	Phoenix	Maricopa
Metropolitan Arts Institute Inc.	Phoenix	Maricopa
Midtown Primary School	Phoenix	Maricopa
Milestones Charter School	Phoenix	Maricopa
Mission Charter School Inc.	Phoenix	Maricopa
Montessori Day Public Schools Chartered Inc.	Phoenix	Maricopa
Morrison Education Group Inc.	Phoenix	Maricopa
Murphy Elementary District	Phoenix	Maricopa
New World Educational Center	Phoenix	Maricopa
North Phoenix Preparatory Academy	Phoenix	Maricopa
North Star Charter School Inc.	Phoenix	Maricopa
Ombudsman Educational Services Ltd. A Subsidiary Of Educati	Phoenix	Maricopa
Osborn Elementary District	Phoenix	Maricopa
Pan-American Elementary Charter	Phoenix	Maricopa
Paradise Valley Unified District	Phoenix	Maricopa
Pas Charter Inc. Dba Intelli-School	Phoenix	Maricopa
Pathfinder Charter School Foundation	Phoenix	Maricopa
Pendergast Elementary District	Phoenix	Maricopa
Phoenix Advantage Charter School Inc.	Phoenix	Maricopa
Phoenix Collegiate Academy Inc.	Phoenix	Maricopa
Phoenix Education Management Llc	Phoenix	Maricopa
Phoenix Elementary District	Phoenix	Maricopa
Phoenix School Of Academic Excellence The	Phoenix	Maricopa
Phoenix Union High School District	Phoenix	Maricopa
Pillar Charter School	Phoenix	Maricopa
Portable Practical Educational Preparation Inc. (Ppep Inc.	Phoenix	Maricopa
Precision Academy Systems Inc	Phoenix	Maricopa
Premier Charter High School	Phoenix	Maricopa
Reid Traditional Schools' Painted Rock Academy Inc.	Phoenix	Maricopa
Reid Traditional Schools' Valley Academy Inc.	Phoenix	Maricopa
Research Based Education Corporation	Phoenix	Maricopa
Ridgeline Academy A Challenge Foundation Academy	Phoenix	Maricopa
Riverside Elementary District	Phoenix	Maricopa
Roosevelt Elementary District	Phoenix	Maricopa
Rsd Charter School Inc.	Phoenix	Maricopa
School Jensen Corporation Inc. Dba Intelli-School	Phoenix	Maricopa
Scottsdale Preparatory Academy	Phoenix	Maricopa
Scottsdale Unified District	Phoenix	Maricopa
Skyline Schools Inc.	Phoenix	Maricopa
Sonoran Science Academy - Phoenix Metro	Phoenix	Maricopa
South Mountain Preparatory Academy Public Charter Elementary	Phoenix	Maricopa
South Phoenix Academy Inc.	Phoenix	Maricopa
South Valley Academy Inc.	Phoenix	Maricopa
Southwest Leadership Academy	Phoenix	Maricopa
Starshine Academy	Phoenix	Maricopa
Stepping Stones Academy	Phoenix	Maricopa
Teleos Preparatory Academy	Phoenix	Maricopa
The Charter Foundation Inc.	Phoenix	Maricopa
The Paideia Academies Inc	Phoenix	Maricopa
Trivium Preparatory Academy	Phoenix	Maricopa
Twenty First Century Charter School Inc. Bennett Academy	Phoenix	Maricopa
University Public Schools Inc.	Phoenix	Maricopa
Valley Of The Sun Waldorf Education Association Dba Desert	Phoenix	Maricopa
Veritas Preparatory Academy	Phoenix	Maricopa
Victory High School Inc.	Phoenix	Maricopa
Villa Montessori Charter School	Phoenix	Maricopa
Vista Charter School	Phoenix	Maricopa
West Gilbert Charter Elementary School Inc.	Phoenix	Maricopa
Westwind Middle School Academy	Phoenix	Maricopa
Wilson Elementary District	Phoenix	Maricopa
Picacho Elementary District	Picacho	Pinal
Discovery Plus Academy	Pima	Graham
Graham County Special Services	Pima	Graham
Pima Unified District	Pima	Graham
Pine Strawberry Elementary District	Pine	Gila
Pinon Unified District	Pinon	Navajo
Pomerene Elementary District	Pomerene	Cochise
Compass Points International Inc	Prescott	Yavapai
Kestrel Schools Inc.	Prescott	Yavapai
La Tierra Community School Inc	Prescott	Yavapai
Mary Ellen Halvorson Educational Foundation. Dba: Tri-City P	Prescott	Yavapai
Mountain Institute Jted	Prescott	Yavapai
Mountain Oak Charter School Inc.	Prescott	Yavapai
Painted Pony Ranch Charter School	Prescott	Yavapai
Prescott Unified District	Prescott	Yavapai
Skyview School Inc.	Prescott	Yavapai
Acorn Montessori Charter School	Prescott Valley	Yavapai
Franklin Phonetic Primary School Inc.	Prescott Valley	Yavapai
Humboldt Unified District	Prescott Valley	Yavapai
Park View School Inc.	Prescott Valley	Yavapai
Prescott Valley Charter School	Prescott Valley	Yavapai
Yavapai Accommodation School District	Prescott Valley	Yavapai
Eduprize Schools Llc	Queen Creek	Pinal
J O Combs Unified School District	Queen Creek	Pinal
Patriot Academy Inc.	Queen Creek	Maricopa
Queen Creek Unified District	Queen Creek	Maricopa
Red Rock Elementary District	Red Rock	Pinal
Beaver Creek Elementary District	Rimrock	Yavapai
Pathways Km Charter Schools Inc	Rimrock	Yavapai
Santa Cruz Valley Unified District	Rio Rico	Santa Cruz
Mohawk Valley Elementary District	Roll	Yuma
Sacaton Elementary District	Sacaton	Pinal
Vechij Himdag Alternative School Inc.	Sacaton	Pinal
Safford Unified District	Safford	Graham
Triumphant Learning Center	Safford	Graham
Great Expectations Academy	Sahuarita	Pima
Sahuarita Unified District	Sahuarita	Pima
Bicentennial Union High School District	Salome	La Paz
Salome Consolidated Elementary District	Salome	La Paz
San Carlos Unified District	San Carlos	Gila
Gadsden Elementary District	San Luis	Yuma
Mammoth-San Manuel Unified District	San Manuel	Pinal
San Simon Unified District	San Simon	Cochise
Sanders Unified District	Sanders	Apache
San Fernando Elementary District	Sasabe	Pima
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
Basis School Inc.	Scottsdale	Maricopa
"BASIS Schools, Inc"	Scottsdale	Maricopa
Cave Creek Unified District	Scottsdale	Maricopa
Foothills Academy	Scottsdale	Maricopa
Integrity Education Incorporated	Scottsdale	Maricopa
Little Lamb Community School	Scottsdale	Maricopa
Sage Academy Inc.	Scottsdale	Maricopa
Salt River Pima-Maricopa Community Schools	Scottsdale	Maricopa
Scottsdale Country Day School	Scottsdale	Maricopa
Pace Preparatory Academy Inc.	Sedona	Yavapai
Sedona Charter School Inc.	Sedona	Yavapai
Sedona-Oak Creek Jusd #9	Sedona	Coconino
Seligman Unified District	Seligman	Yavapai
Baboquivari Unified School District #40	Sells	Pima
Sentinel Elementary District	Sentinel	Maricopa
Shonto Governing Board Of Education Inc.	Shonto	Navajo
Edkey Inc. - Sequoia Village School	Show Low	Navajo
Founding Fathers Academies Inc	Show Low	Navajo
Show Low Unified District	Show Low	Navajo
Successful Beginnings Charter School	Show Low	Navajo
Center For Academic Success Inc.	Sierra Vista	Cochise
Cochise Community Development Corporation	Sierra Vista	Cochise
Sierra Vista Charter School Inc.	Sierra Vista	Cochise
Sierra Vista Unified District	Sierra Vista	Cochise
Skull Valley Elementary District	Skull Valley	Yavapai
Northeast Arizona Technological Institute Of Vocational Education	Snowflake	Navajo
Northern Arizona Vocational Institute Of Technology	Snowflake	Navajo
Snowflake Unified District	Snowflake	Navajo
Solomon Elementary District	Solomon	Graham
Somerton Elementary District	Somerton	Yuma
Round Valley Unified District	Springerville	Apache
St David Unified District	St. David	Cochise
St Johns Unified District	St. Johns	Apache
Stanfield Elementary District	Stanfield	Pinal
Cobre Valley Institute Of Technology District	Superior	Pinal
Superior Unified School District	Superior	Pinal
Dysart Unified District	Surprise	Maricopa
Imagine Middle At Surprise Inc.	Surprise	Maricopa
Imagine Prep Surprise Inc.	Surprise	Maricopa
Legacy Traditional School - Surprise	Surprise	Maricopa
Paragon Management Inc.	Surprise	Maricopa
Rosefield Charter Elementary School Inc.	Surprise	Maricopa
Success School	Surprise	Maricopa
Career Development Inc.	Taylor	Navajo
Red Mesa Unified District	Teec Nos Pos	Apache
Allen-Cochran Enterprises Inc.	Tempe	Maricopa
Educational Options Foundation	Tempe	Maricopa
Gar Llc Dba Student Choice High School	Tempe	Maricopa
George Gervin Youth Center Inc.	Tempe	Maricopa
Global Renaissance Academy Of Distinguished Education	Tempe	Maricopa
Imagine Elementary At Tempe Inc.	Tempe	Maricopa
James Madison Preparatory School	Tempe	Maricopa
Kyrene Elementary School District	Tempe	Maricopa
Leona Advanced Virtual Academy	Tempe	Maricopa
Mcccd On Behalf Of Phoenix College Preparatory Academy	Tempe	Maricopa
New School For The Arts	Tempe	Maricopa
New School For The Arts Middle School	Tempe	Maricopa
Pinnacle Education-Tempe Inc.	Tempe	Maricopa
Tempe Preparatory Academy	Tempe	Maricopa
Tempe School District	Tempe	Maricopa
Tempe Union High School District	Tempe	Maricopa
University Public Schools Inc.	Tempe	Maricopa
Us Mental Math Federation Incorp	Tempe	Maricopa
Gila Institute For Technology	Thatcher	Graham
Thatcher Unified District	Thatcher	Graham
P.L.C. Charter Schools	Tolleson	Maricopa
Plc Arts Academy At Scottsdale Inc.	Tolleson	Maricopa
Tolleson Elementary District	Tolleson	Maricopa
Tolleson Union High School District	Tolleson	Maricopa
Union Elementary District	Tolleson	Maricopa
Mary C O'brien Accommodation District	Toltec	Pinal
Tombstone Unified District	Tombstone	Cochise
Saddle Mountain Unified School District #90	Tonopah	Maricopa
Tonto Basin Elementary District	Tonto Basin	Gila
Topock Elementary District	Topock	Mohave
Valentine Elementary District	Truxton	Mohave
Tuba City Unified District	Tuba City	Coconino
Santa Cruz Valley Opportunities In Education Inc.	Tubac	Santa Cruz
Academy Del Sol Inc.	Tucson	Pima
Academy Of Mathematics And Science Inc.	Tucson	Pima
Academy Of Mathematics And Science South Inc.	Tucson	Pima
Academy Of Tucson Inc.	Tucson	Pima
Accelerated Elementary And Secondary Schools	Tucson	Pima
Allsport Academy	Tucson	Pima
Altar Valley Elementary District	Tucson	Pima
Amphitheater Unified District	Tucson	Pima
Aprender Tucson	Tucson	Pima
Arizona Community Development Corporation	Tucson	Pima
Arizona State School For The Deaf And Blind	Tucson	Pima
Blue Adobe Project	Tucson	Pima
Canyon Rose Academy Inc.	Tucson	Pima
Carden Of Tucson Inc.	Tucson	Pima
Catalina Foothills Unified District	Tucson	Pima
Children's Success Academy Inc.	Tucson	Pima
Collaborative Pathways Inc.	Tucson	Pima
Compass High School Inc.	Tucson	Pima
Cplc Community Schools Dba Hiaki High School	Tucson	Pima
Cplc Community Schools Dba Toltecalli High School	Tucson	Pima
Desert Rose Academy Inc.	Tucson	Pima
Desert Sky Community School Inc.	Tucson	Pima
Desert Springs Academy	Tucson	Pima
Eastpointe High School Inc.	Tucson	Pima
Edge School Inc. The	Tucson	Pima
Education Ahead	Tucson	Pima
Educational Impact Inc.	Tucson	Pima
El Centro For The Study Of Primary And Secondary Education	Tucson	Pima
El Pueblo Integral - Teaching & Learning Collaborative	Tucson	Pima
Flowing Wells Unified District	Tucson	Pima
Griffin Foundation Inc. The	Tucson	Pima
Ha:San Educational Services	Tucson	Pima
Hermosa Montessori Charter School	Tucson	Pima
Highland Free School	Tucson	Pima
Institute For Transformative Education Inc.	Tucson	Pima
Kaizen Education Foundation Dba Skyview High School	Tucson	Pima
Khalsa Family Services	Tucson	Pima
Legacy Traditional School - Northwest Tucson	Tucson	Pima
Lifelong Learning Research Institute Inc.	Tucson	Pima
Lifelong Learning Research Institute Inc.	Tucson	Pima
Luz Academy Of Tucson Inc	Tucson	Pima
Math And Science Success Academy Inc.	Tucson	Pima
Montessori Schoolhouse Of Tucson Inc.	Tucson	Pima
Mountain Rose Academy Inc.	Tucson	Pima
Multidimensional Literacy Corp.	Tucson	Pima
New West School	Tucson	Pima
Nosotros Inc	Tucson	Pima
Pima County Board Of Supervisors	Tucson	Pima
Pima County Jted	Tucson	Pima
Pima Prevention Partnership	Tucson	Pima
Pima Prevention Partnership Dba Pima Partnership Academy	Tucson	Pima
Pima Prevention Partnership Dba Pima Partnership School The	Tucson	Pima
Pima Rose Academy Inc.	Tucson	Pima
Portable Practical Educational Preparation Inc. (Ppep Inc.	Tucson	Pima
Presidio School	Tucson	Pima
Presidio School Inc.	Tucson	Pima
Satori Inc.	Tucson	Pima
Sonoran Science Academy - Broadway	Tucson	Pima
Sonoran Science Academy - Davis Monthan	Tucson	Pima
Southern Arizona Community Academy Inc.	Tucson	Pima
Southgate Academy Inc.	Tucson	Pima
Sunnyside Unified District	Tucson	Pima
Tag Elementary Inc.	Tucson	Pima
Tanque Verde Unified District	Tucson	Pima
Tucson Collegiate Prep Inc.	Tucson	Pima
Tucson Country Day School Inc.	Tucson	Pima
Tucson International Academy Inc.	Tucson	Pima
Tucson Preparatory School	Tucson	Pima
Tucson Small School Project	Tucson	Pima
Tucson Unified District	Tucson	Pima
Tucson Youth Development Ace Charter High School	Tucson	Pima
Vision Charter School Inc.	Tucson	Pima
Wildcat Secondary School	Tucson	Pima
Vail Unified District	Vail	Pima
Vernon Elementary District	Vernon	Apache
Antelope Union High School District	Wellton	Yuma
Wellton Elementary District	Wellton	Yuma
Wenden Elementary District	Wenden	La Paz
Whiteriver Unified District	Whiteriver	Navajo
Wickenburg Unified District	Wickenburg	Maricopa
Owens-Whitney Elementary District	Wikieup	Mohave
Cochise Technology District	Willcox	Cochise
Willcox Unified District	Willcox	Cochise
Williams Unified District	Williams	Coconino
Hayden-Winkelman Unified District	Winkelman	Gila
Developing Innovations In Navajo Education Inc. (Dine Inc.	Winslow	Navajo
Winslow Unified District	Winslow	Navajo
Nadaburg Unified School District	Wittmann	Maricopa
Yarnell Elementary District	Yarnell	Yavapai
Young Elementary District	Young	Gila
Yucca Elementary District	Yucca	Mohave
Az-Tec High School	Yuma	Yuma
Carpe Diem Collegiate High School	Yuma	Yuma
Crane Elementary District	Yuma	Yuma
Harvest Power Community Development Group Inc.	Yuma	Yuma
Juniper Tree Academy	Yuma	Yuma
Yuma Elementary District	Yuma	Yuma
Yuma Private Industry Council Inc.	Yuma	Yuma
Yuma Union High School District	Yuma	Yuma
